signal_id,time,bar_time,pair,side,tw_signal,ai_side,ai_confidence,decision,reject_reason,entry_price,bid,ask,spread_bps,signal_source,filter_config
B-DOGE_USDT-1789731300000-1,2026-09-18T11:40:40.694827+00:00,2026-09-18T11:35:00+00:00,B-DOGE_USDT,LONG,1,NO TRADE,48.0,REJECTED,AI_CONFLICT,0.0853,0.08529,0.0853,1.1724016648099094,TW_FILTERED_PLUS_AI,"{""atr_expansion_min"": 1.1, ""cooldown_bars"": 3, ""ema_distance_min"": 0.003, ""ema_filter"": true, ""ema_length"": 200, ""hull_length"": 8, ""rsi_filter"": false, ""slope_filter"": true, ""volume_ratio_min"": 1.2}"
B-ZEC_USDT-1789743600000--1,2026-09-18T15:08:57.251644+00:00,2026-09-18T15:00:00+00:00,B-ZEC_USDT,SHORT,-1,LONG,68.0,REJECTED,AI_CONFLICT,1468.26,1468.26,1468.27,0.0681075963807004,TW_FILTERED_PLUS_AI,"{""atr_expansion_min"": 1.1, ""cooldown_bars"": 3, ""ema_distance_min"": 0.003, ""ema_filter"": true, ""ema_length"": 200, ""hull_length"": 8, ""rsi_filter"": false, ""slope_filter"": true, ""volume_ratio_min"": 1.2}"
B-SUI_USDT-1789811100000-1,2026-09-19T09:50:01.160948+00:00,2026-09-19T09:45:00+00:00,B-SUI_USDT,LONG,1,LONG,82.0,ACCEPTED,,0.8362,0.8361,0.8362,1.1959576630999225,TW_FILTERED_PLUS_AI,"{""atr_expansion_min"": 1.1, ""cooldown_bars"": 3, ""ema_distance_min"": 0.003, ""ema_filter"": true, ""ema_length"": 200, ""hull_length"": 8, ""rsi_filter"": false, ""slope_filter"": true, ""volume_ratio_min"": 1.2}"
B-SUI_USDT-1789897800000--1,2026-09-20T09:56:32.947903+00:00,2026-09-20T09:50:00+00:00,B-SUI_USDT,SHORT,-1,LONG,68.0,REJECTED,AI_CONFLICT,0.8211,0.8211,0.8212,1.2178042988490407,TW_FILTERED_PLUS_AI,"{""atr_expansion_min"": 1.1, ""cooldown_bars"": 3, ""ema_distance_min"": 0.003, ""ema_filter"": true, ""ema_length"": 200, ""hull_length"": 8, ""rsi_filter"": false, ""slope_filter"": true, ""volume_ratio_min"": 1.2}"
B-ONDO_USDT-1789897800000--1,2026-09-20T09:56:33.352182+00:00,2026-09-20T09:50:00+00:00,B-ONDO_USDT,SHORT,-1,NO TRADE,48.0,REJECTED,AI_CONFLICT,0.4097,0.4097,0.4098,2.4405125076263325,TW_FILTERED_PLUS_AI,"{""atr_expansion_min"": 1.1, ""cooldown_bars"": 3, ""ema_distance_min"": 0.003, ""ema_filter"": true, ""ema_length"": 200, ""hull_length"": 8, ""rsi_filter"": false, ""slope_filter"": true, ""volume_ratio_min"": 1.2}"
B-FIL_USDT-1789939800000-1,2026-09-20T21:38:26.977363+00:00,2026-09-20T21:30:00+00:00,B-FIL_USDT,LONG,1,LONG,92.0,ACCEPTED,,0.9486,0.9485,0.9486,1.0542406831478466,TW_FILTERED_PLUS_AI,"{""atr_expansion_min"": 1.1, ""cooldown_bars"": 3, ""ema_distance_min"": 0.003, ""ema_filter"": true, ""ema_length"": 200, ""hull_length"": 8, ""rsi_filter"": false, ""slope_filter"": true, ""volume_ratio_min"": 1.2}"
B-WLD_USDT-1789953300000-1,2026-09-21T01:22:22.271821+00:00,2026-09-21T01:15:00+00:00,B-WLD_USDT,LONG,1,LONG,92.0,ACCEPTED,,0.4447,0.4446,0.4447,2.2489598560663215,TW_FILTERED_PLUS_AI,"{""atr_expansion_min"": 1.1, ""cooldown_bars"": 3, ""ema_distance_min"": 0.003, ""ema_filter"": true, ""ema_length"": 200, ""hull_length"": 8, ""rsi_filter"": false, ""slope_filter"": true, ""volume_ratio_min"": 1.2}"
B-MUBARAK_USDT-1790226300000--1,2026-09-24T05:10:07.168724+00:00,2026-09-24T05:05:00+00:00,B-MUBARAK_USDT,SHORT,-1,NO TRADE,48.0,REJECTED,AI_CONFLICT,0.05171,0.05171,0.05172,1.9336749492416248,TW_FILTERED_PLUS_AI,"{""atr_expansion_min"": 1.1, ""cooldown_bars"": 3, ""ema_distance_min"": 0.003, ""ema_filter"": true, ""ema_length"": 200, ""hull_length"": 8, ""rsi_filter"": false, ""slope_filter"": true, ""volume_ratio_min"": 1.2}"
B-PENGU_USDT-1790229600000-1,2026-09-24T06:05:52.738503+00:00,2026-09-24T06:00:00+00:00,B-PENGU_USDT,LONG,1,LONG,92.0,ACCEPTED,,0.010027,0.010026,0.010027,0.9973570039388273,TW_FILTERED_PLUS_AI,"{""atr_expansion_min"": 1.1, ""cooldown_bars"": 3, ""ema_distance_min"": 0.003, ""ema_filter"": true, ""ema_length"": 200, ""hull_length"": 8, ""rsi_filter"": false, ""slope_filter"": true, ""volume_ratio_min"": 1.2}"
B-XAG_USDT-1790231400000--1,2026-09-24T06:35:09.456254+00:00,2026-09-24T06:30:00+00:00,B-XAG_USDT,SHORT,-1,SHORT,24.0,ACCEPTED,,64.09,64.09,64.1,1.5601841017225844,TW_FILTERED_PLUS_AI,"{""atr_expansion_min"": 1.1, ""cooldown_bars"": 3, ""ema_distance_min"": 0.003, ""ema_filter"": true, ""ema_length"": 200, ""hull_length"": 8, ""rsi_filter"": false, ""slope_filter"": true, ""volume_ratio_min"": 1.2}"
